"";"0.25";"0.5";"0.75";"1";"2";"3";"4";"5"
"Arabidopsis";91,101;90,033;89,922;90,966;90,239;90,621;90,3430000000001;90,2769999999999
"Celegans";18,812;18,755;19,063;19,2320000000001;19,2589999999999;19,086;18,74;19,171
"CKM";0,0389999999999873;0,0380000000000109;0,0399999999999636;0,0399999999999636;0,0399999999999636;0,0390000000002146;0,0430000000001201;0,04099999999994
"CS_Aarhus";0,0160000000000764;0,0150000000001;0,0139999999998963;0,0139999999998963;0,0140000000001237;0,015999999999849;0,0140000000001237;0,0139999999998963
"Drosophila";142,256;143,041;141,991;141,69;142,848;142,984;142,99;142,231
"EUAir";0,324000000000069;0,31899999999996;0,326000000000022;0,320000000000164;0,320000000000164;0,311000000000149;0,309999999999945;0,320000000000164
"FAO";0,842000000000098;0,744999999999891;0,757999999999811;0,755999999999858;0,757000000000062;0,759000000000015;0,772999999999683;0,786999999999807
"HepatitusCVirus";0,01299999999992;0,01299999999992;0,01299999999992;0,01299999999992;0,0130000000003747;0,012000000000171;0,0119999999997162;0,01299999999992
"HumanHIV1";1,07500000000027;0,715999999999894;0,722999999999956;0,805000000000291;0,80600000000004;0,715000000000146;0,80600000000004;0,721000000000004
"Kapferer1";0,00799999999981083;0,00800000000026557;0,00799999999981083;0,00799999999981083;0,00799999999981083;0,00799999999981083;0,00799999999981083;0,00800000000026557
"Kapferer2";0,00700000000006185;0,00799999999981083;0,00900000000001455;0,00799999999981083;0,00799999999981083;0,00799999999981083;0,00799999999981083;0,00700000000006185
"Knoke";0,00700000000006185;0,00600000000031287;0,00599999999985812;0,00700000000006185;0,00599999999985812;0,00700000000006185;0,00700000000006185;0,00600000000031287
"Lazega";0,0100000000002183;0,0100000000002183;0,0109999999999673;0,0109999999999673;0,0100000000002183;0,0100000000002183;0,0100000000002183;0,0100000000002183
"London";0,0830000000000837;0,0819999999998799;0,0829999999996289;0,0829999999996289;0,0819999999998799;0,0829999999996289;0,0819999999998799;0,0830000000000837
"Padgett";0,00700000000006185;0,00799999999981083;0,00799999999981083;0,0069999999996071;0,00700000000006185;0,00700000000006185;0,00700000000006185;0,00799999999981083
"PierreAuger";0,231999999999971;0,222999999999956;0,231999999999971;0,327000000000226;0,226999999999862;0,235000000000127;0,228000000000065;0,224999999999909
"Rattus";7,79300000000012;7,22200000000021;7,2180000000003;7,04799999999977;7,31100000000015;7,50399999999991;7,22000000000025;7,00500000000011
"Roethlisberger";0,0210000000001855;0,0230000000001382;0,0200000000004366;0,0199999999999818;0,0199999999999818;0,0209999999997308;0,0219999999999345;0,0199999999999818
"Sampson";0,0279999999997926;0,0270000000000437;0,0259999999998399;0,0279999999997926;0,0279999999997926;0,0270000000000437;0,0270000000000437;0,0269999999995889
"Thurmann";0,00700000000006185;0,00700000000006185;0,00700000000006185;0,00700000000006185;0,00700000000006185;0,00799999999981083;0,00700000000006185;0,00700000000006185
"Wolfe";0,00600000000031287;0,00399999999990541;0,00500000000010914;0,00399999999990541;0,00399999999990541;0,00500000000010914;0,00400000000036016;0,00500000000010914
